trial,cv_rmse,train_rmse,kernel_name,kernel_variance,likelihood_noise_variance,ls_an,ls_cat,ls_cross
37,0.5256168198384161,0.08278630340803332,RBF,1.136815390714364,0.0035061627238627308,1.7964147974076183,19.103701935086058,27.296153732124257
38,0.7107537607094411,0.06749483821644177,RBF,0.1558119935699142,0.013095141768557788,0.05732929354043902,2.454761967864282,11.06244151464714
39,0.4886602465530127,0.08873280646908895,Matern52,0.03733912417460281,0.0006227590354490509,4.307796099089439,30.50871143317087,47.0122283511101
40,0.6597122579549733,0.24725518087421783,RBF,0.48688476394369495,0.16487096168773324,0.8096563294090625,14.611754509223838,64.36268523349271
41,0.9167276476307379,0.0614787334387911,RBF,0.0032907715614275915,0.0005344577157122338,0.34381265251896564,30.552383172212657,1.8841590237100703
42,0.6599235227954865,0.0628882768661558,RationalQuadratic,1.2713260171349097,0.0023151912710039774,0.09453357834821832,79.44131973472523,4.980218392920296
43,0.6990073264579892,0.06798795201688311,Matern52,0.008541575473781687,0.0013581825971632803,0.1968229599592275,8.77435691175855,9.660951145824173
44,1.0094223732699263,0.08898228036909801,Matern32,0.037392358843059435,0.03571381271355389,3.376655108048574,4.365512102169857,0.0422348595517809
45,0.5349973641149784,0.1943001685695668,RBF,0.12176318830365208,0.05720458117213891,0.038575160442482215,32.67969402275239,22.295139651481907
46,0.6071782057518809,0.06487421708426686,RationalQuadratic,0.013277809298970992,0.005667457770674703,0.01023040413844129,1.1856088300603882,14.78105700042128
47,0.8261347104510477,0.04109038029225321,Matern52,0.2726877522140824,0.012370570259197862,0.014232466373916211,0.010803119355688352,6.936901203031059
48,1.0300292951997547,0.5592858163769948,RBF,0.0009853173377756277,0.14307236676607035,21.320638670948725,0.5261678422373909,0.9379233824222409
49,0.9140349594721874,0.048575458858522096,RationalQuadratic,1.0821060440507346,0.0006743922279890424,0.14811574839529681,70.67986718684881,0.30103141183192567
50,0.9878375854261849,0.026402990742976962,Matern32,0.0896590525162494,0.00018438604537297695,13.71715713154877,0.05947778896816491,0.696015651123978
51,0.831695456442071,0.09913612009081108,RBF,0.0015794654726151735,0.008454988689032486,50.1784525413848,6.33255918276213,4.423578484245365
52,0.9717253003426889,0.07257937739198328,Matern52,0.00025990818334402767,0.0027030459103740013,0.3402807158498849,3.2932809815582726,2.2417216487830847
53,0.6066042641993452,0.4399267101998448,RationalQuadratic,2.2384585603702758e-05,0.003905246843427809,2.226172254370308,25.809045750723925,72.66047621603643
54,0.5236598998787017,0.15102758595559787,RBF,0.044448869430040804,0.018110140005031743,0.559452153537929,12.472287533838553,37.209069650270116
55,1.0858037557662172,0.04373017842539911,Matern52,0.004411611334836418,0.001197544338155035,3.8232771539369295,0.17445896878752873,0.036583522458626686
56,0.7114790127542038,0.05910506963564509,Matern32,2.1945203251617595,0.006181133321230477,0.08436290421789482,17.596614558952897,8.239944804410085
57,0.5977928930928267,0.06478236258714491,Matern52,0.2054521382445791,0.0004061260168757851,8.344069805007665,62.547332467062645,12.543719488274185
58,0.5314594840993307,0.10579187109781454,RBF,0.012031090414222491,0.0006543093820859596,6.866254606015581,97.91385874357887,25.319001558357392
59,0.8656617410678198,0.28603811888451974,RationalQuadratic,0.7208313441765387,0.45744882266354403,1.1626118404015042,0.03378107991521134,55.55971996212166
60,1.0156797803317468,0.04914352443540612,Matern52,0.3905074757414769,0.0008706641621113332,1.9086812881224393,2.1058305468855743,0.2715655986083195
61,0.8864124048571084,0.052307204296351974,Matern32,0.02297040778446238,0.00022764701653864424,12.691211954174861,1.1614848491571204,3.920218866133537
62,0.4934159555762482,0.06874485842610156,RBF,0.002655926267979197,0.00012388372678578496,0.01738178404552958,9.682016966564037,38.79106785431179
63,0.6211224368453843,0.06296541731015301,Matern52,0.0003819868933522263,0.00020118549056926172,0.0412943146964493,3.4928562954750793,14.431359287910281
64,1.0758178737150565,0.035739757399440256,RBF,2.1476911639632906e-05,0.00016188649264404245,0.023017044110532223,9.077018409231144,0.01072896157564708
65,0.9672801531215693,0.037477253617389565,Matern52,0.001896661942240606,0.0003678551643039748,30.93992840686646,5.543732488695562,0.07064122297521262
66,0.4990278337703521,0.16387580249602468,RBF,0.0001311898014423882,0.0005027284693776977,0.01877214777207207,34.85359148910558,44.652293317788256
67,0.5034696299744706,0.12516145853546085,RBF,8.81637627902409e-05,0.0001269371294248846,0.013163159343900936,34.119360243197136,42.35239966395513
68,0.4936202013529827,0.19136470055690274,RBF,0.0001315779877020281,0.0005513733641255148,0.11244349377057526,23.491000347924064,94.5451930926751
69,0.5119777742262116,0.20929416867478015,RBF,1.5063133684884215e-06,0.00011933982856760312,0.030650291590990832,15.220583106338237,95.38125628231008
70,0.5318432800410551,0.28473560168015094,RBF,5.990564788357992e-05,0.001904327853383002,0.16407669705154504,23.177761800000443,72.13177601130027
71,0.5147762856126723,0.09766677332872767,RBF,0.0011053894906663047,0.0002802426070268604,0.11279198609281219,11.012885848509564,94.22164569772272
72,0.5443869177152741,0.12185818514024134,RBF,0.00026652761473280304,0.0009116228602061996,0.7397554050305488,21.374361217556654,21.066270012554078
73,0.5175484283512854,0.2133238179863683,RBF,3.0373105176240925e-05,0.0014329796567754587,0.3769665510786724,51.356045441543046,32.03713132388682
