rank,candidate_index,cation,anion,il_smiles,fw_aei_score,co2_pred,co2_std,vis_pred,vis_std,tox_pred,tox_std,pareto_within_selected_set
34,24323,CCCCCC[NH+](CCCCCC)CCCCCC,NCC(=O)[O-],CCCCCC[NH+](CCCCCC)CCCCCC.NCC(=O)[O-],0.3314000716396559,0.5160131799344628,0.12161873798480786,-2.773714065551758,0.89688437187801,2.004276990890503,3.1340369212416843,True
35,87039,[NH3+]CNCCO,CC1(C(=O)[O-])CCCN1,[NH3+]CNCCO.CC1(C(=O)[O-])CCCN1,0.33030379348983646,0.38920038253008,0.1898661333708052,-2.549814224243164,1.128927580424024,3.84016489982605,2.6050183137041256,False
36,64016,CCn1cc[nH+]c1,CC(=O)CCC(=O)[O-],CCn1cc[nH+]c1.CC(=O)CCC(=O)[O-],0.32082719937489756,0.24840886278694582,0.14488848346941247,-4.334413528442383,1.124972766970459,3.764691114425659,2.8177279731973277,False
37,81082,Cc1cccc[nH+]1,O=C([O-])C1CCCN1,Cc1cccc[nH+]1.O=C([O-])C1CCCN1,0.31009521121498823,0.4085131546425459,0.19355729511963848,-2.318239212036133,1.2424774311403026,3.764012098312378,2.3739489187065357,False
38,64067,CCn1cc[nH+]c1,CO[PH](=O)[O-],CCn1cc[nH+]c1.CO[PH](=O)[O-],0.3075378048376281,0.20589737743892006,0.1514931758910237,-4.40709114074707,1.103596588135437,3.879692792892456,2.388074324468778,True
39,74494,C[NH+](C)C,NCCC(=O)[O-],C[NH+](C)C.NCCC(=O)[O-],0.3050497255044982,0.2933398649154316,0.1223529356691902,-4.514406204223633,0.9648957335024441,3.601698637008667,3.055808405577267,False
40,75312,C[NH+]1C=CN=C1,CO[PH](=O)[O-],C[NH+]1C=CN=C1.CO[PH](=O)[O-],0.30345869136102593,0.21760513409335552,0.15844533599834712,-4.131349563598633,1.2148782903047968,3.643376111984253,3.0490850796087785,False
41,75261,C[NH+]1C=CN=C1,CC(=O)CCC(=O)[O-],C[NH+]1C=CN=C1.CC(=O)CCC(=O)[O-],0.3006012657627563,0.24298774630458858,0.15275340794069162,-4.082963943481445,1.227492787559437,3.5393474102020264,3.265702096129416,False
42,74544,C[NH+](C)C,O=S1(=O)N=C([O-])c2ccccc21,C[NH+](C)C.O=S1(=O)N=C([O-])c2ccccc21,0.29998634052091816,0.22719275700984748,0.1624205528530965,-4.684633255004883,0.9574748976681382,2.7162768840789795,2.2902868336111095,False
43,49152,CCC[S+]1CCCC1,CC1(C(=O)[O-])CCCN1,CCC[S+]1CCCC1.CC1(C(=O)[O-])CCCN1,0.29902516202134466,0.40352556965407854,0.19026007811965154,-2.1399402618408203,1.404379257311138,3.7813613414764404,2.39136847609827,False
44,80970,Cc1cccc[nH+]1,CC(=O)CCC(=O)[O-],Cc1cccc[nH+]1.CC(=O)CCC(=O)[O-],0.29602290032782774,0.2473121483888069,0.14476078515962323,-4.331926345825195,1.2202758041120034,3.6337859630584717,2.81667772061438,False
45,75358,C[NH+]1C=CN=C1,NCC(=O)[O-],C[NH+]1C=CN=C1.NCC(=O)[O-],0.29414398943034054,0.3104425565557833,0.1405661391118664,-3.465791702270508,1.245037097225015,3.542464017868042,3.2549932708905067,False
46,52958,CCOCC[NH+](C)C,CC1(C(=O)[O-])CCCN1,CCOCC[NH+](C)C.CC1(C(=O)[O-])CCCN1,0.2934733425669742,0.4240591468988114,0.19659673493308708,-2.306978225708008,1.1110525208496238,4.020968437194824,2.5990039054427356,True
47,64031,CCn1cc[nH+]c1,CC1=CC(=O)[N-]S(=O)(=O)O1,CCn1cc[nH+]c1.CC1=CC(=O)[N-]S(=O)(=O)O1,0.29174120154285194,0.22309071385869322,0.16134304311096914,-3.7725391387939453,1.1455012042415156,3.912194013595581,2.1111076868040635,True
48,1231,C=CC[NH+](C)C,CC1(C(=O)[O-])CCCN1,C=CC[NH+](C)C.CC1(C(=O)[O-])CCCN1,0.2911662799240258,0.4027771359015605,0.19574203473366103,-2.367555618286133,1.1813290019587412,3.7234275341033936,2.707475986250938,False
49,48716,CCC[NH+](C)CCC,NCC(=O)[O-],CCC[NH+](C)CCC.NCC(=O)[O-],0.29092442005907837,0.5995151858892439,0.12455517221399576,-1.8609027862548828,1.159044754414952,3.4412314891815186,2.9037578110706828,True
50,86174,OCC[NH2+]c1ccccc1,CC1(C(=O)[O-])CCCN1,OCC[NH2+]c1ccccc1.CC1(C(=O)[O-])CCCN1,0.2881207032995908,0.37933138289595636,0.1934932133077942,-2.7321720123291016,0.9289162586337084,3.698296308517456,2.4779497467068596,False
51,75582,C[NH+]1CCCC1=O,O=S1(=O)N=C([O-])c2ccccc21,C[NH+]1CCCC1=O.O=S1(=O)N=C([O-])c2ccccc21,0.2879052818660296,0.21398274087611474,0.1558169688356515,-4.794893264770508,0.8123521303455234,2.7437198162078857,2.6817304203033117,False
52,81021,Cc1cccc[nH+]1,CO[PH](=O)[O-],Cc1cccc[nH+]1.CO[PH](=O)[O-],0.2864756217627455,0.20575780494775875,0.15143047330308204,-4.431413650512695,1.2076777236180314,3.7379653453826904,2.395202542622299,False
53,80985,Cc1cccc[nH+]1,CC1=CC(=O)[N-]S(=O)(=O)O1,Cc1cccc[nH+]1.CC1=CC(=O)[N-]S(=O)(=O)O1,0.27976450602292485,0.22298534987239768,0.16129859237794247,-3.7641773223876953,1.2300101742672556,3.835564374923706,2.0448758212116513,False
