smiles,family,tsne_1,tsne_2,type
CCCCC[n+]1ccn(C)c1,imidazolium,-0.99831885,13.278182,cation
CCCCC[n+]1ccn(CCCC)c1,imidazolium,8.698165,4.3039117,cation
CCCCCc1c(C)cc(C)c[n+]1CC,pyridinium,8.040447,-2.163457,cation
CCCCCc1c(C)cc(C)c[n+]1CCCC,pyridinium,8.881357,-2.7751968,cation
CCCCCc1cccc[n+]1CC,pyridinium,10.798996,18.062977,cation
CCCCCn1c(C)cc(C)[n+]1-c1ccccc1,imidazolium,15.62394,24.013948,cation
CCCCCn1cc[n+](C)c1,imidazolium,-10.196533,16.680077,cation
CCCCCn1cc[n+](C)c1C,imidazolium,-1.276515,3.2616987,cation
CCCCCn1cc[n+](CCCCC)c1,imidazolium,9.43633,3.8109775,cation
CCCCN1C=C[NH+](C)C1,ammonium,-4.5032067,-0.70067674,cation
CCCCN1C=C[NH+](CCCC)C1,ammonium,1.7505003,-1.6420205,cation
CCCCNC(=O)C[n+]1ccn(CC)c1,imidazolium,2.0194669,7.10755,cation
CCCCOC(=O)c1nccc[n+]1CCCC,ammonium,3.3586032,4.6543303,cation
CCCCOCC(O)CN(CCCn1cc[nH+]c1)C(C)=O,imidazolium,5.2198863,2.4994228,cation
CCCCOCC(O)CNCCCn1cc[nH+]c1,imidazolium,5.2287965,2.4992418,cation
CCCCOC[n+]1cccc(O)c1,pyridinium,8.734143,16.353989,cation
CCCC[N+](C)(C)C,ammonium,-0.5028701,-15.3925,cation
CCCC[N+](C)(C)C(=N)N(C)C,ammonium,-1.9037865,-12.831194,cation
CCCC[N+](C)(C)CC,ammonium,1.092294,-15.008867,cation
CCCC[N+](C)(C)CCO,ammonium,0.5370836,-13.561753,cation
CCCC[N+](C)(CC)CC,ammonium,3.454125,-15.074848,cation
CCCC[N+](C)(CCC)CCC,ammonium,5.6614385,-13.362868,cation
CCCC[N+](C)(CCCC)CCCC,ammonium,6.7857933,-12.629936,cation
CCCC[N+](CC)(CC)CC,ammonium,6.8486924,-16.163702,cation
CCCC[N+](CCCC)(CCCC)CCCC,ammonium,7.758965,-12.223208,cation
CCCC[N+]1(C)CCCC1,pyrrolidinium,-25.695314,-27.24089,cation
CCCC[N+]1(C)CCCCC1,piperidinium,-26.061008,-26.845932,cation
CCCC[N+]1(C)CCOCC1,piperidinium,-18.84483,-26.642763,cation
CCCC[N+]1C=CC=C(C(=O)[O-])C1,piperidinium,1.8050351,12.511936,cation
CCCC[NH+]1C=CN=C1,ammonium,-11.510499,4.41586,cation
CCCC[NH+]1C=CN=C1c1ccccc1,ammonium,11.115917,23.455997,cation
CCCC[NH+]1CCCC1,pyrrolidinium,-24.180935,-19.036316,cation
CCCC[NH3+],ammonium,-7.213335,-7.865743,cation
CCCC[P+](C)(CCCC)CCCC,phosphonium,13.587873,-12.417744,cation
CCCC[P+](CC)(CC)CC,phosphonium,5.949165,-21.488565,cation
CCCC[P+](CC)(CCCC)CCCC,phosphonium,14.115567,-11.644962,cation
CCCC[P+](CCCC)(CCCC)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,phosphonium,-18.465824,4.0662317,cation
CCCC[P+](CCCC)(CCCC)CCCC,phosphonium,15.516702,-11.589499,cation
CCCC[P+](CCCC)(CCCC)CCCN,phosphonium,15.498296,-12.268839,cation
CCCC[P+](CCCC)(CCCC)CCSC,phosphonium,14.889217,-12.314164,cation
CCCC[P+](CCCC)(CCCC)CCSCC,phosphonium,14.878536,-11.515573,cation
CCCC[P+](CCCC)(CCCC)COC,phosphonium,14.435811,-12.771572,cation
CCCC[P+](CCCC)(CCCC)CSC,phosphonium,14.236709,-12.201129,cation
CCCC[S+]1CCCC1,sulfonium,-25.97468,-17.266518,cation
CCCC[S+]1CCCCC1,sulfonium,-26.061438,-17.722195,cation
CCCC[n+]1cc(C)cc(C)c1,pyridinium,4.0800204,14.694321,cation
CCCC[n+]1cc[nH]c1,imidazolium,1.4955926,12.362929,cation
CCCC[n+]1ccc(C#N)cc1,pyridinium,6.8518887,14.639591,cation
CCCC[n+]1ccc(C)c(C)c1,pyridinium,4.9112577,15.360827,cation
CCCC[n+]1ccc(C)cc1,pyridinium,6.2960005,14.534519,cation
CCCC[n+]1ccc(N(C)C)cc1,pyridinium,6.2246222,13.552531,cation
CCCC[n+]1ccc2ccccc2c1,pyridinium,12.812126,21.989138,cation
CCCC[n+]1cccc(C#N)c1,pyridinium,6.620298,16.173067,cation
CCCC[n+]1cccc(C)c1,pyridinium,5.750935,16.791477,cation
CCCC[n+]1cccc(C)c1C,pyridinium,4.5224156,15.951678,cation
