smiles,family,tsne_1,tsne_2,type,mw
CCCCCC[N+](C)(C)C,ammonium,2.5112402,-12.504673,cation,144.28199999999998
CCCCCC[N+](CC)(CC)CC,ammonium,8.227818,-15.273983,cation,186.36299999999997
CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC,ammonium,21.825853,-5.5824785,cation,354.6870000000002
CCCCCC[N+]1(C)CCCC1,pyrrolidinium,-24.072292,-29.552921,cation,170.31999999999996
CCCCCC[N+]1(C)CCCCC1,piperidinium,-24.615088,-29.939264,cation,184.34699999999995
CCCCCC[N+]1(C)CCOCC1,piperidinium,-19.396406,-28.581808,cation,186.31899999999996
CCCCCC[N+]1(CCCC)CCCC1,pyrrolidinium,-22.212818,-31.121822,cation,212.40099999999995
CCCCCC[N+]1(CCCCCC)CCCC1,pyrrolidinium,-21.809864,-31.98204,cation,240.45499999999993
CCCCCC[NH+](CCCCCC)CCCCCC,ammonium,19.354027,-5.9031086,cation,270.5249999999999
CCCCCC[NH+]1C=CN(C)C1,ammonium,2.7711282,-2.199089,cation,169.29199999999997
CCCCCC[NH2+]CCN,ammonium,1.2295399,-5.388709,cation,145.27
CCCCCC[P+](CCCCCC)(CCCCCC)CC(C)C,phosphonium,19.588995,-7.2249355,cation,343.6000000000001
CCCCCC[S+]=C(N(C)C)N(C)C,sulfonium,0.17562552,-9.8077345,cation,217.402
CCCCCC[n+]1cc(C)cc(C)c1,pyridinium,10.493783,9.082171,cation,192.326
CCCCCC[n+]1cc(C)cc(C)c1C,pyridinium,8.487309,-1.6516917,cation,206.35299999999998
CCCCCC[n+]1cc(C)cc(C)c1CC,pyridinium,8.705525,-2.170489,cation,220.37999999999997
CCCCCC[n+]1cc(C)cc(C)c1CCCCC,pyridinium,9.649654,-3.1235735,cation,262.46099999999996
CCCCCC[n+]1cc(CC)cc(CC)c1CCC,pyridinium,9.3565235,-3.6388779,cation,262.46099999999996
CCCCCC[n+]1ccc(C#N)cc1,pyridinium,8.987477,12.95416,cation,189.282
CCCCCC[n+]1ccc(C)cc1,pyridinium,8.981089,12.393484,cation,178.299
CCCCCC[n+]1ccc(N(C)C)c(C)c1,pyridinium,9.039495,10.826619,cation,221.368
CCCCCC[n+]1ccc(N(C)C)cc1,pyridinium,8.90647,11.517312,cation,207.341
CCCCCC[n+]1ccc(N2CCC(C)CC2)cc1,pyridinium,7.8345184,12.330035,cation,261.43299999999994
CCCCCC[n+]1ccc2ccccc2c1,pyridinium,13.680893,20.83463,cation,214.33200000000002
CCCCCC[n+]1cccc(C#N)c1,pyridinium,10.340012,13.110747,cation,189.282
CCCCCC[n+]1cccc(C)c1,pyridinium,10.492791,12.614469,cation,178.299
CCCCCC[n+]1cccc2ccccc21,pyridinium,13.565793,20.893688,cation,214.33200000000002
CCCCCC[n+]1ccccc1,pyridinium,14.9042015,13.954924,cation,164.27200000000002
CCCCCC[n+]1ccn(C)c1,imidazolium,11.031365,6.4463954,cation,167.27599999999998
CCCCCC[n+]1ccn(C)c1C,imidazolium,0.7288969,2.9335783,cation,181.30299999999997
CCCCCC[n+]1ccn(CC)c1,imidazolium,8.998804,5.0897274,cation,181.30299999999997
CCCCCC[n+]1ccn(CCC#N)c1,imidazolium,10.3250885,4.545919,cation,206.31299999999996
CCCCCC[n+]1ccn(Cc2ccc(C)cc2)c1,imidazolium,18.755527,17.276056,cation,257.40099999999995
