trial,cv_rmse,train_rmse,kernel_name,kernel_variance,likelihood_noise_variance,ls_an,ls_cat
53,0.636257320939154,0.22565932054331145,RationalQuadratic,2.05258180174212,0.15966635954219008,6.67280612395467,4.3736889541256625
54,1.070938053949125,1.0564490637811015,Matern32,7.565846331574723e-05,0.001828396135531987,18.328030505604275,56.686366057732656
55,0.5948745463834059,0.23641741515456985,Matern52,0.003271036153490277,0.00021767462280610083,35.58716716124809,10.879123423766737
56,1.0864475672373133,1.0746427144255413,RationalQuadratic,0.0009960365604163703,0.05315857405806599,3.3774330877141843,96.93566556688938
57,1.057568346021632,1.002367911567103,RBF,1.3345533885455408e-05,0.0001401540293747334,65.98098670587862,0.04602884896199425
58,0.914369776245825,0.6586488839260236,RationalQuadratic,0.0002701351761302283,0.00036747666127471006,1.1356120706918256,0.2918225077851791
59,0.5540709856815108,0.20161437526831688,Matern32,0.1896738463669768,0.0007969067559243352,13.915157734302698,36.62997576990927
60,0.5474136318426039,0.25141263416321824,Matern32,0.2536176483492537,0.009795427962562274,9.471153266013284,38.92497825463505
61,0.7420112924056866,0.19593777804904133,Matern32,2.3070581283462746,0.09878437865272674,21.05731049125827,2.119165399605748
62,0.713427945260331,0.2016945409170728,Matern32,0.4018542346173604,0.020352455409200085,5.744660521068356,3.608480429439826
63,0.7989679637729695,0.19160209812902756,Matern32,1.2305626565879728,0.04149490205013183,0.5940898486415318,0.9473338731992634
64,0.8779043717776528,0.38708077249381395,Matern32,0.07767408985801597,0.026608602144628426,8.505538403877875,0.01072896157564708
65,0.6348726331580311,0.22113730272852244,Matern32,0.1525290287478397,0.01006040974104054,2.3707452563857125,8.07907509531217
66,0.5417138315989669,0.22387284190990334,Matern32,0.1661961338634314,0.0026519794776647078,47.473459534441076,37.80138154947531
67,0.5581221747787694,0.2980017137175891,Matern32,0.03982585172470976,0.004464166125454368,48.75293714205049,27.3719993108162
68,0.5664570039771881,0.35179748513581255,Matern32,0.021553611258816212,0.0029013987761534257,22.78269045532172,43.921406697980956
69,0.5381093862349937,0.2789371449990011,Matern32,0.5769153381322243,0.014475204892649543,98.93367299421175,67.62447388818273
70,0.5801381667452506,0.21631550698183663,Matern32,0.34600692622651347,0.009840678950137486,86.38739570424399,13.446402469893306
71,0.5450905180069645,0.26923211876624464,Matern32,0.556879741453384,0.017736522896649707,9.60805100543063,57.37441687431264
72,0.5395130847778544,0.256613197923243,Matern32,0.596366833700852,0.014164960781664586,32.803778043623694,57.55439772340935
73,0.6607759272848022,0.19745580198675722,Matern32,0.8822995781869094,0.02763578457530267,33.387382057307484,5.9243324220949924
74,0.5595483803227764,0.36078635450807656,Matern32,1.724338079810917,0.09935894299983698,98.17071599900851,76.68436743825725
75,0.5754515759560961,0.327546762509617,Matern32,1.2868616020870505,0.226818443004441,47.97965584530197,22.542376414363847
76,0.5534347272929745,0.33255302795020475,Matern32,0.0683068943193267,0.005752558960699065,55.51503520652887,51.70409209456538
77,0.6217669054523822,0.4450743288423631,Matern32,0.1139430980747534,0.03562504424255303,77.21771211147355,30.281304988378512
78,0.6341590879985611,0.3892325916158351,Matern32,0.03095205275027441,0.011957106177876847,26.979175405710954,13.454675475090722
79,0.5412971688424444,0.2710770463882538,Matern32,0.29484650611763985,0.003952480212224903,37.81870042675666,96.28844810633106
80,0.8619140183401314,0.17268252802028417,Matern32,0.479316777403343,0.0037615628991173214,3.7636570264257294,0.1388169479705485
