smiles,type,family,molecular_weight
CCCCCCC[N+]1(C)CCOCC1,cation,morpholinium,200.34599999999995
CCCCCCC[NH+]1C=CN(C)C1,cation,other N-heterocycle,183.319
CCCCCCC[P+](CC)(CC)CC,cation,phosphonium,217.35699999999994
CCCCCCC[n+]1ccccc1,cation,pyridinium,178.29900000000004
CCCCCCC[n+]1ccn(C)c1,cation,imidazolium,181.30300000000003
CCCCCCCc1cccc[n+]1CC,cation,pyridinium,206.353
CCCCCCCn1c(C)cc(C)[n+]1-c1ccccc1,cation,pyrazolium,271.428
CCCCCCCn1cc[n+](C)c1,cation,imidazolium,181.30300000000003
CCCCCCCn1cc[n+](CCCCCCC)c1,cation,imidazolium,265.4649999999999
CCCCCCN1C=C[NH+](C)C1,cation,other N-heterocycle,169.29199999999997
CCCCCCOC(=O)C[N+](C)(C)C,cation,ammonium,202.31799999999998
CCCCCCOC[n+]1cccc(O)c1,cation,pyridinium,210.29700000000003
CCCCCC[N+](C)(C)C,cation,ammonium,144.28199999999998
CCCCCC[N+](CC)(CC)CC,cation,ammonium,186.36299999999997
CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC,cation,ammonium,354.6870000000002
CCCCCC[N+]1(C)CCCC1,cation,pyrrolidinium,170.31999999999996
CCCCCC[N+]1(C)CCCCC1,cation,piperidinium,184.34699999999995
CCCCCC[N+]1(C)CCOCC1,cation,morpholinium,186.31899999999996
CCCCCC[N+]1(CCCC)CCCC1,cation,pyrrolidinium,212.40099999999995
CCCCCC[N+]1(CCCCCC)CCCC1,cation,pyrrolidinium,240.45499999999993
CCCCCC[NH+](CCCCCC)CCCCCC,cation,ammonium,270.5249999999999
CCCCCC[NH+]1C=CN(C)C1,cation,other N-heterocycle,169.29199999999997
CCCCCC[NH2+]CCN,cation,ammonium,145.27
CCCCCC[P+](CCCCCC)(CCCCCC)CC(C)C,cation,phosphonium,343.6000000000001
CCCCCC[n+]1cc(C)cc(C)c1CC,cation,pyridinium,220.37999999999997
CCCCCC[n+]1cc(CC)cc(CC)c1CCC,cation,pyridinium,262.46099999999996
CCCCCC[n+]1ccc(C)cc1,cation,pyridinium,178.299
CCCCCC[n+]1ccc(N(C)C)c(C)c1,cation,pyridinium,221.368
CCCCCC[n+]1ccc(N(C)C)cc1,cation,pyridinium,207.341
CCCCCC[n+]1ccc(N2CCC(C)CC2)cc1,cation,pyridinium,261.43299999999994
CCCCCC[n+]1cccc(C)c1,cation,pyridinium,178.299
CCCCCC[n+]1cccc2ccccc21,cation,pyridinium,214.33200000000002
CCCCCC[n+]1ccccc1,cation,pyridinium,164.27200000000002
CCCCCC[n+]1ccn(C)c1,cation,imidazolium,167.27599999999998
CCCCCC[n+]1ccn(C)c1C,cation,imidazolium,181.30299999999997
CCCCCC[n+]1ccn(CC)c1,cation,imidazolium,181.30299999999997
CCCCCC[n+]1ccn(CCC#N)c1,cation,imidazolium,206.31299999999996
CCCCCC[n+]1ccn(Cc2ccc(C)cc2)c1,cation,imidazolium,257.40099999999995
CCCCCCc1cccc[n+]1CC,cation,pyridinium,192.326
CCCCCCn1c(C)cc(C)[n+]1-c1ccccc1,cation,pyrazolium,257.401
CCCCCCn1c[n+](CCCCS(=O)(=O)O)cn1,cation,other N-heterocycle,290.40899999999993
CCCCCCn1cc[n+](C)c1,cation,imidazolium,167.27599999999998
CCCCCCn1cc[n+](C)c1C,cation,imidazolium,181.30299999999997
CCCCCCn1cc[n+](CC)c1,cation,imidazolium,181.30299999999997
CCCCCCn1cc[n+](CCC#N)c1,cation,imidazolium,206.31299999999996
CCCCCCn1cc[n+](CCCCCC)c1,cation,imidazolium,237.41099999999992
CCCCC[N+](C)(C)CC,cation,ammonium,144.28199999999998
CCCCC[N+](C)(C)CCO,cation,ammonium,160.28099999999998
CCCCC[N+](C)(CC)CC,cation,ammonium,158.30899999999997
CCCCC[N+](C)(CCC)CCC,cation,ammonium,186.36299999999997
CCCCC[N+]1(C)CCOCC1,cation,morpholinium,172.29199999999997
CCCCC[NH3+],cation,ammonium,88.174
CCCCC[P+](CC)(CC)CC,cation,phosphonium,189.30299999999997
CCCCC[n+]1ccccc1,cation,pyridinium,150.245
CCCCC[n+]1ccn(C)c1,cation,imidazolium,153.249
CCCCC[n+]1ccn(CCCC)c1,cation,imidazolium,195.32999999999996
CCCCCc1cccc[n+]1CC,cation,pyridinium,178.29899999999998
CCCCCn1c(C)cc(C)[n+]1-c1ccccc1,cation,pyrazolium,243.37400000000002
CCCCCn1cc[n+](C)c1,cation,imidazolium,153.249
CCCCCn1cc[n+](C)c1C,cation,imidazolium,167.27599999999998
