smiles,type,family,mw,source_properties,source_split_roles,source_files
CCCCCCCCCCN1CCC[N+]2=C1CCCCC2,cation,other N-heterocycle,293.51900000000006,vis,train;val,train_2_group_vis.csv;train_3_group_vis.csv;train_4_group_vis.csv;train_5_group_vis.csv;val_1_group_vis.csv
CCCCCCCCCC[N+](C)(C)Cc1ccccc1,cation,ammonium,276.488,tox,train;val,train_1_group_tox.csv;train_2_group_tox.csv;train_4_group_tox.csv;train_5_group_tox.csv;val_3_group_tox.csv
CCCCCCCCCC[N+]1(C)CCCCC1,cation,piperidinium,240.45499999999993,vis,train;val,train_1_group_vis.csv;train_2_group_vis.csv;train_3_group_vis.csv;train_5_group_vis.csv;val_4_group_vis.csv
CCCCCCCCCC[P+](CC)(CC)CC,cation,phosphonium,259.43799999999993,vis,train;val,train_2_group_vis.csv;train_3_group_vis.csv;train_4_group_vis.csv;train_5_group_vis.csv;val_1_group_vis.csv
CCCCCCCCCC[n+]1ccccc1,cation,pyridinium,220.38000000000002,vis,test,test_group_vis.csv
CCCCCCCCCC[n+]1ccn(C)c1,cation,imidazolium,223.38400000000001,co2;vis,train;val,train_1_group_co2.csv;train_1_group_vis.csv;train_2_group_co2.csv;train_2_group_vis.csv;train_3_group_co2.csv;train_3_group_vis.csv;train_4_group_co2.csv;train_4_group_vis.csv;train_5_group_co2.csv;val_1_group_co2.csv;val_3_group_co2.csv;val_5_group_vis.csv
CCCCCCCCCC[n+]1ccn(Cc2ccc(C)cc2)c1,cation,imidazolium,313.50900000000007,vis,train;val,train_2_group_vis.csv;train_3_group_vis.csv;train_4_group_vis.csv;train_5_group_vis.csv;val_1_group_vis.csv
CCCCCCCCCCn1cc[n+](C)c1,cation,imidazolium,223.38400000000001,tox;vis,test;train;val,test_group_vis.csv;train_1_group_tox.csv;train_1_group_vis.csv;train_2_group_tox.csv;train_2_group_vis.csv;train_3_group_tox.csv;train_3_group_vis.csv;train_4_group_tox.csv;train_4_group_vis.csv;train_5_group_tox.csv;train_5_group_vis.csv;val_1_group_tox.csv;val_1_group_vis.csv;val_2_group_tox.csv;val_2_group_vis.csv;val_5_group_vis.csv
CCCCCCCCCCn1cc[n+](CC)c1,cation,imidazolium,237.411,tox;vis,train;val,train_1_group_tox.csv;train_1_group_vis.csv;train_2_group_tox.csv;train_2_group_vis.csv;train_3_group_vis.csv;train_4_group_tox.csv;train_5_group_tox.csv;train_5_group_vis.csv;val_3_group_tox.csv;val_4_group_vis.csv
CCCCCCCCCCn1cc[n+](CCC#N)c1,cation,imidazolium,262.421,vis,train;val,train_1_group_vis.csv;train_2_group_vis.csv;train_4_group_vis.csv;train_5_group_vis.csv;val_3_group_vis.csv
CCCCCCCCCCn1cc[n+](CCCCCCCCCC)c1,cation,imidazolium,349.6270000000002,vis,train;val,train_1_group_vis.csv;train_3_group_vis.csv;train_4_group_vis.csv;train_5_group_vis.csv;val_2_group_vis.csv
CCCCCCCCCCn1cc[n+](CCCCCCCCCC)c1C,cation,imidazolium,363.6540000000002,tox,train;val,train_1_group_tox.csv;train_2_group_tox.csv;train_4_group_tox.csv;train_5_group_tox.csv;val_3_group_tox.csv
CCCCCCCCC[N+]1(C)CCCCC1,cation,piperidinium,226.42799999999994,vis,test,test_group_vis.csv
CCCCCCCCC[N+]1(C)CCOCC1,cation,morpholinium,228.39999999999995,vis,train;val,train_1_group_vis.csv;train_2_group_vis.csv;train_4_group_vis.csv;train_5_group_vis.csv;val_3_group_vis.csv
CCCCCCCCC[P+](CC)(CC)CC,cation,phosphonium,245.41099999999994,vis,train;val,train_1_group_vis.csv;train_2_group_vis.csv;train_3_group_vis.csv;train_5_group_vis.csv;val_4_group_vis.csv
CCCCCCCCCn1cc[n+](C)c1,cation,imidazolium,209.35700000000003,tox;vis,train;val,train_1_group_tox.csv;train_1_group_vis.csv;train_2_group_tox.csv;train_2_group_vis.csv;train_3_group_tox.csv;train_3_group_vis.csv;train_4_group_tox.csv;train_4_group_vis.csv;train_5_group_tox.csv;val_2_group_tox.csv;val_5_group_tox.csv;val_5_group_vis.csv
CCCCCCCCCn1cc[n+](CCCCCCCCC)c1,cation,imidazolium,321.5730000000001,vis,train;val,train_1_group_vis.csv;train_2_group_vis.csv;train_3_group_vis.csv;train_4_group_vis.csv;val_5_group_vis.csv
CCCCCCCCN1C=C[NH+](C)C1,cation,other N-heterocycle,197.34600000000003,co2,test,test_group_co2.csv
CCCCCCCC[N+](C)(C)C,cation,ammonium,172.336,vis,train;val,train_1_group_vis.csv;train_2_group_vis.csv;train_3_group_vis.csv;train_4_group_vis.csv;val_5_group_vis.csv
CCCCCCCC[N+](C)(CCCCCCCC)C(C)CCCCCC,cation,ammonium,368.71400000000017,vis,train;val,train_1_group_vis.csv;train_2_group_vis.csv;train_4_group_vis.csv;train_5_group_vis.csv;val_3_group_vis.csv
CCCCCCCC[N+](C)(CCCCCCCC)C(CC)CCCCC,cation,ammonium,368.71400000000017,vis,train;val,train_1_group_vis.csv;train_2_group_vis.csv;train_3_group_vis.csv;train_5_group_vis.csv;val_4_group_vis.csv
CCCCCCCC[N+](C)(CCCCCCCC)C(CCC)CCCC,cation,ammonium,368.71400000000017,vis,test,test_group_vis.csv
CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC,cation,ammonium,368.7140000000002,co2;vis,test;train;val,test_group_vis.csv;train_1_group_co2.csv;train_1_group_vis.csv;train_2_group_co2.csv;train_2_group_vis.csv;train_3_group_co2.csv;train_3_group_vis.csv;train_4_group_co2.csv;train_4_group_vis.csv;train_5_group_co2.csv;train_5_group_vis.csv;val_1_group_co2.csv;val_2_group_co2.csv;val_3_group_vis.csv;val_4_group_vis.csv;val_5_group_vis.csv
CCCCCCCC[N+](CC)(CC)CC,cation,ammonium,214.41699999999997,vis,train;val,train_1_group_vis.csv;train_2_group_vis.csv;train_3_group_vis.csv;train_4_group_vis.csv;train_5_group_vis.csv;val_3_group_vis.csv;val_4_group_vis.csv
CCCCCCCC[N+](CCCCCCCC)(CCCCCCCC)CCCCCCCC,cation,ammonium,466.90300000000053,vis,train;val,train_1_group_vis.csv;train_2_group_vis.csv;train_4_group_vis.csv;train_5_group_vis.csv;val_3_group_vis.csv
CCCCCCCC[N+]1(C)CCCC1,cation,pyrrolidinium,198.37399999999997,co2;tox;vis,train;val,train_1_group_co2.csv;train_1_group_tox.csv;train_1_group_vis.csv;train_2_group_co2.csv;train_2_group_tox.csv;train_2_group_vis.csv;train_3_group_tox.csv;train_4_group_co2.csv;train_4_group_tox.csv;train_4_group_vis.csv;train_5_group_co2.csv;train_5_group_tox.csv;train_5_group_vis.csv;val_1_group_tox.csv;val_3_group_co2.csv;val_3_group_vis.csv;val_4_group_tox.csv
CCCCCCCC[N+]1(C)CCCCC1,cation,piperidinium,212.40099999999995,vis,train;val,train_1_group_vis.csv;train_2_group_vis.csv;train_3_group_vis.csv;train_4_group_vis.csv;val_5_group_vis.csv
CCCCCCCC[N+]1(C)CCOCC1,cation,morpholinium,214.37299999999996,vis,train;val,train_1_group_vis.csv;train_2_group_vis.csv;train_3_group_vis.csv;train_4_group_vis.csv;train_5_group_vis.csv;val_3_group_vis.csv;val_4_group_vis.csv;val_5_group_vis.csv
CCCCCCCC[NH+](CCCCCCCC)CCCCCCCC,cation,ammonium,354.6870000000002,vis,train;val,train_1_group_vis.csv;train_2_group_vis.csv;train_3_group_vis.csv;train_4_group_vis.csv;train_5_group_vis.csv;val_3_group_vis.csv;val_5_group_vis.csv
