cation,anion
C=CCN1C=C[NH+](CCC#N)C1,O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
C=CCN1C=C[NH+](CCC#N)C1,O=C([O-])C(F)(F)C(F)(F)C(F)(F)F
C=CCN1C=C[NH+](CCC#N)C1,O=C([O-])C(F)(F)F
C=CCN1C=C[NH+](CCC#N)C1,O=C([O-])C1CCCN1
C=CCN1C=C[NH+](CCC#N)C1,O=C([O-])C=CC(=O)O
C=CCN1C=C[NH+](CCC#N)C1,O=C([O-])CNCC(=O)O
C=CCN1C=C[NH+](CCC#N)C1,O=C([O-])CO
C=CCN1C=C[NH+](CCC#N)C1,O=C([O-])O
C=CCN1C=C[NH+](CCC#N)C1,O=C([O-])c1cccc(S(=O)(=O)O)c1
C=CCN1C=C[NH+](CCC#N)C1,O=C([O-])c1ccccc1
C=CCN1C=C[NH+](CCC#N)C1,O=C([O-])c1ccccc1O
C=CCN1C=C[NH+](CCC#N)C1,O=C1O[B-]2(OC1=O)OC(=O)C(=O)O2
C=CCN1C=C[NH+](CCC#N)C1,O=C1[N-]S(=O)(=O)c2ccccc21
C=CCN1C=C[NH+](CCC#N)C1,O=C[O-]
C=CCN1C=C[NH+](CCC#N)C1,O=P([O-])(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
C=CCN1C=C[NH+](CCC#N)C1,O=P([O-])(O)O
C=CCN1C=C[NH+](CCC#N)C1,O=S(=O)(F)[N-]S(=O)(=O)F
C=CCN1C=C[NH+](CCC#N)C1,O=S(=O)(N=S(=O)([O-])C(F)(F)F)C(F)(F)F
C=CCN1C=C[NH+](CCC#N)C1,O=S(=O)(N[SH](=O)([O-])C(F)(F)F)C(F)(F)F
C=CCN1C=C[NH+](CCC#N)C1,O=S(=O)([C-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F)C(F)(F)F
C=CCN1C=C[NH+](CCC#N)C1,O=S(=O)([CH-]S(=O)(=O)C(F)(F)F)C(F)(F)F
C=CCN1C=C[NH+](CCC#N)C1,O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
C=CCN1C=C[NH+](CCC#N)C1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
C=CCN1C=C[NH+](CCC#N)C1,O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
C=CCN1C=C[NH+](CCC#N)C1,O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
C=CCN1C=C[NH+](CCC#N)C1,O=S(=O)([O-])C(F)(F)C(F)C(F)(F)F
C=CCN1C=C[NH+](CCC#N)C1,O=S(=O)([O-])C(F)(F)C(F)F
C=CCN1C=C[NH+](CCC#N)C1,O=S(=O)([O-])C(F)(F)C(F)OC(F)(F)C(F)(F)F
C=CCN1C=C[NH+](CCC#N)C1,O=S(=O)([O-])C(F)(F)C(F)OC(F)(F)F
C=CCN1C=C[NH+](CCC#N)C1,O=S(=O)([O-])C(F)(F)F
C=CCN1C=C[NH+](CCC#N)C1,O=S(=O)([O-])CC(O)CN1CCOCC1
C=CCN1C=C[NH+](CCC#N)C1,O=S(=O)([O-])CC(O)CNC(CO)(CO)CO
C=CCN1C=C[NH+](CCC#N)C1,O=S(=O)([O-])CC(O)CNC1CCCCC1
C=CCN1C=C[NH+](CCC#N)C1,O=S(=O)([O-])CCN(CCO)CCO
C=CCN1C=C[NH+](CCC#N)C1,O=S(=O)([O-])O
C=CCN1C=C[NH+](CCC#N)C1,O=S(=O)([O-])c1ccccc1
C=CCN1C=C[NH+](CCC#N)C1,O=S1(=O)N=C([O-])c2ccccc21
C=CCN1C=C[NH+](CCC#N)C1,O=[N+]([O-])[O-]
C=CCN1C=C[NH+](CCC#N)C1,O=[N+]([O-])c1cn[n-]c1
C=CCN1C=C[NH+](CCC#N)C1,O=[N+]([O-])c1cnc[n-]1
C=CCN1C=C[NH+](CCC#N)C1,O=[Re](=O)(=O)[O-]
C=CCN1C=C[NH+](CCC#N)C1,[Br-]
C=CCN1C=C[NH+](CCC#N)C1,[Cl-]
C=CCN1C=C[NH+](CCC#N)C1,[I-]
C=CCN1C=C[NH+](CCC#N)C1,[N-]=C=C1C=CC=N1
C=CCN1C=C[NH+](CCC#N)C1,[N-]=[N+]=[N-]
C=CCN1C=C[NH+](CCC#N)C1,[O-][Cl+3]([O-])([O-])[O-]
C=CCN1C=C[NH+](CCC#N)C1,[O-]c1ccccc1
C=CCN1C=C[NH+](CCC#N)C1,[c-]1c[nH]nn1
C=CCN1C=C[NH+](CCC#N)C1,[c-]1nn[nH]n1
C=CCN1C=C[NH+](CCC#N)C1,c1c[n-]cn1
C=CCN1C=C[NH+](CCC#N)C1,c1ccc2c(c1)O[B-]1(O2)Oc2ccccc2O1
C=CCN1C=C[NH+](CCC#N)C1,c1nnc[n-]1
C=CC[N+](C)(C)CC,Brc1ccc2[n-]ncc2c1
C=CC[N+](C)(C)CC,Brc1ccc2cn[n-]c2c1
C=CC[N+](C)(C)CC,Brc1cccc2[n-]ncc12
C=CC[N+](C)(C)CC,Brc1cnc[n-]1
C=CC[N+](C)(C)CC,C/C=C/C(=O)[O-]
C=CC[N+](C)(C)CC,C=CC(=O)NC(C)(C)CS(=O)(=O)[O-]
C=CC[N+](C)(C)CC,CC(=O)CCC(=O)[O-]
C=CC[N+](C)(C)CC,CC(=O)NC(C(=O)[O-])C(C)C
C=CC[N+](C)(C)CC,CC(=O)NC(C)C(=O)[O-]
C=CC[N+](C)(C)CC,CC(=O)NC(CC(C)C)C(=O)[O-]
C=CC[N+](C)(C)CC,CC(=O)[O-]
C=CC[N+](C)(C)CC,CC(C)(C)C(=O)[O-]
C=CC[N+](C)(C)CC,CC(C)C(=O)[O-]
C=CC[N+](C)(C)CC,CC(C)C(N)C(=O)[O-]
C=CC[N+](C)(C)CC,CC(C)CC(N)C(=O)[O-]
C=CC[N+](C)(C)CC,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C
C=CC[N+](C)(C)CC,CC(N)C(=O)[O-]
