setting,rank,candidate_index,score,is_pareto_within_top50,cation,anion,co2_pred,vis_pred,tox_pred
three_objective,46,35740,0.1376229656732804,False,CCCCn1ccc[n+]1C,CC1(C(=O)[O-])CCCN1,0.44481163193383777,-1.8452520370483398,3.4269120693206787
three_objective,47,50857,0.1280506735785248,False,CN1CCC[NH+]2CCCN=C12,NCC(=O)[O-],0.3646634650756665,-2.88944149017334,3.5260732173919678
three_objective,48,45993,0.12381820219760944,False,CC[NH2+]CC,NCC(=O)[O-],0.37471410282548834,-2.782416343688965,3.630239248275757
three_objective,49,58706,0.12031141089879459,False,C[NH+]1CCCC1=O,CCCCCCCCCCCCOS(=O)(=O)[O-],0.23280054193729233,-3.7113866806030273,2.817189931869507
three_objective,50,30572,0.11975723322858228,False,CCCC[S+]1CCCC1,CC1(C(=O)[O-])CCCN1,0.44660117288880297,-1.497115135192871,3.614682912826538
two_objective,1,58692,3.792172184054477,True,C[NH+]1CCCC1=O,CC1(C(=O)[O-])CCCN1,0.429382460887482,-4.646170616149902,3.742143392562866
two_objective,2,57932,3.1930105799519,False,C[NH+](C)C,CC1(C(=O)[O-])CCCN1,0.4159450053539295,-4.487051963806152,3.8138577938079834
two_objective,3,49724,2.478092491879003,True,CCn1cc[nH+]c1,CC1(C(=O)[O-])CCCN1,0.4423169940901406,-3.8425817489624023,3.9127252101898193
two_objective,4,62796,2.4583572979588775,True,Cc1cccc[nH+]1,CC1(C(=O)[O-])CCCN1,0.4399753208134782,-3.8648290634155273,3.778247594833374
two_objective,5,49876,1.2044974727278173,True,CCn1ccc[n+]1C,CC1(C(=O)[O-])CCCN1,0.4433871714712372,-2.9619970321655273,3.8406178951263428
two_objective,6,48964,1.031282264774269,False,CCn1cc(C)[n+](CC)c1,CC1(C(=O)[O-])CCCN1,0.4385286501740201,-2.8314428329467773,3.7073476314544678
two_objective,7,58540,1.013811114275996,False,C[NH+]1C=CN=C1,CC1(C(=O)[O-])CCCN1,0.34909053911489646,-3.6983556747436523,3.6780126094818115
two_objective,8,58001,1.007408336340888,False,C[NH+](C)C,NCC(=O)[O-],0.3831949084613208,-3.9536962509155273,3.6631276607513428
two_objective,9,50788,1.005543486456661,False,CN1CCC[NH+]2CCCN=C12,CC1(C(=O)[O-])CCCN1,0.4191816179664404,-3.020094871520996,3.646871328353882
two_objective,10,58996,0.9787658216311794,False,C[NH3+],CC1(C(=O)[O-])CCCN1,0.4365477610664663,-2.8813390731811523,3.933549642562866
two_objective,11,47140,0.9475644525651408,True,CC[S+]1CCCC1,CC1(C(=O)[O-])CCCN1,0.44517164949901983,-2.71311092376709,3.8849236965179443
two_objective,12,19476,0.9382466851618029,False,CCCCCC[NH+](CCCCCC)CCCCCC,CC1(C(=O)[O-])CCCN1,0.4290601023243403,-3.1520605087280273,1.8608930110931396
two_objective,13,45924,0.9219294733272904,False,CC[NH2+]CC,CC1(C(=O)[O-])CCCN1,0.4254652261255245,-2.96079158782959,3.769019842147827
two_objective,14,58761,0.7775024902672193,False,C[NH+]1CCCC1=O,NCC(=O)[O-],0.3818656399785437,-4.243521690368652,3.608386754989624
two_objective,15,49046,0.7119040867008453,True,CCn1cc(C)[n+](CC)c1,O=C([O-])C1CCCN1,0.4540357386584455,-2.38315486907959,3.6983487606048584
two_objective,16,49958,0.6958735002938273,True,CCn1ccc[n+]1C,O=C([O-])C1CCCN1,0.45923654076565634,-2.3631811141967773,3.831847906112671
two_objective,17,47222,0.6793706335852909,True,CC[S+]1CCCC1,O=C([O-])C1CCCN1,0.4610487666714116,-2.3160924911499023,3.880836248397827
two_objective,18,49793,0.6770219792969109,False,CCn1cc[nH+]c1,NCC(=O)[O-],0.41486684270745483,-3.5342626571655273,3.7754247188568115
two_objective,19,62865,0.6122791718400824,False,Cc1cccc[nH+]1,NCC(=O)[O-],0.40509170710907944,-3.5964879989624023,3.6436078548431396
two_objective,20,38172,0.6062648334696704,False,CCC[S+]1CCCC1,CC1(C(=O)[O-])CCCN1,0.44581535074693496,-2.3428640365600586,3.789191961288452
two_objective,21,50870,0.49097736164855565,False,CN1CCC[NH+]2CCCN=C12,O=C([O-])C1CCCN1,0.4339340103272464,-2.3006811141967773,3.644437551498413
two_objective,22,62878,0.48854955870402983,False,Cc1cccc[nH+]1,O=C([O-])C1CCCN1,0.4557629550889216,-2.3113927841186523,3.7715203762054443
two_objective,23,47292,0.47380987889284276,False,CC[n+]1cc(C)n(C)c1,CC1(C(=O)[O-])CCCN1,0.34672564799384714,-2.8122167587280273,3.5787618160247803
two_objective,24,67204,0.4700471489221395,False,[NH3+]CNCCO,CC1(C(=O)[O-])CCCN1,0.4242050010366903,-2.581721305847168,3.84629225730896
two_objective,25,38254,0.4667893776709192,True,CCC[S+]1CCCC1,O=C([O-])C1CCCN1,0.461624446705265,-2.033095359802246,3.7842061519622803
two_objective,26,12636,0.434160971074313,False,CCCCCCCC[NH+](CCCCCCCC)CCCCCCCC,CC1(C(=O)[O-])CCCN1,0.4298414541112578,-2.7529821395874023,0.7741162776947021
two_objective,27,46684,0.4283439422815025,False,CC[P+](CC)(CC)CSC,CC1(C(=O)[O-])CCCN1,0.4525345426272384,-2.1299657821655273,3.4432332515716553
two_objective,28,49945,0.3980918308200665,False,CCn1ccc[n+]1C,NCC(=O)[O-],0.4180921646918067,-2.864089012145996,3.7052457332611084
two_objective,29,47209,0.34985216309959016,False,CC[S+]1CCCC1,NCC(=O)[O-],0.421210681298037,-2.64023494720459,3.7277677059173584
two_objective,30,19545,0.3352263471360901,False,CCCCCC[NH+](CCCCCC)CCCCCC,NCC(=O)[O-],0.4282836363744439,-2.7200841903686523,2.011077642440796
two_objective,31,57945,0.3234593443275143,False,C[NH+](C)C,CCCCCCCCCC(=O)[O-],0.2121354809889508,-4.848654747009277,3.3427789211273193
two_objective,32,47374,0.3122639291653123,False,CC[n+]1cc(C)n(C)c1,O=C([O-])C1CCCN1,0.3573209291347908,-2.33347225189209,3.573364019393921
two_objective,33,58705,0.30087547467117803,True,C[NH+]1CCCC1=O,CCCCCCCCCC(=O)[O-],0.20516875618203162,-5.142142295837402,3.3119523525238037
two_objective,34,66444,0.30023453305995396,False,OCC[NH2+]c1ccccc1,CC1(C(=O)[O-])CCCN1,0.38010465569340307,-2.7130651473999023,3.704101324081421
two_objective,35,49033,0.29596386659339097,False,CCn1cc(C)[n+](CC)c1,NCC(=O)[O-],0.4028716161832664,-2.7354040145874023,3.597217321395874
