smiles,type,family,tsne_1,tsne_2
CCCCCCOC[n+]1cccc(O)c1,cation,pyridinium,8.307063102722168,11.620603561401367
CCCCCC[N+](C)(C)C,cation,ammonium,0.08887293189764023,-10.7792329788208
CCCCCC[N+](CC)(CC)CC,cation,ammonium,5.088584899902344,-10.286201477050781
CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC,cation,ammonium,18.379478454589844,-7.099278926849365
CCCCCC[N+]1(C)CCCC1,cation,pyrrolidinium,-21.107166290283203,-30.080890655517578
CCCCCC[N+]1(C)CCCCC1,cation,piperidinium,-21.570491790771484,-30.454586029052734
CCCCCC[N+]1(C)CCOCC1,cation,morpholinium,-17.375581741333008,-27.7867488861084
CCCCCC[N+]1(CCCC)CCCC1,cation,pyrrolidinium,-19.086856842041016,-30.92898178100586
CCCCCC[N+]1(CCCCCC)CCCC1,cation,pyrrolidinium,-18.51077651977539,-31.62906265258789
CCCCCC[NH+](CCCCCC)CCCCCC,cation,ammonium,15.709897994995117,-6.7776947021484375
CCCCCC[NH+]1C=CN(C)C1,cation,other N-heterocycle,5.378577709197998,-1.7081034183502197
CCCCCC[NH2+]CCN,cation,ammonium,-3.6073617935180664,-6.050180912017822
CCCCCC[P+](CCCCCC)(CCCCCC)CC(C)C,cation,phosphonium,15.863338470458984,-8.135063171386719
CCCCCC[n+]1cc(C)cc(C)c1CC,cation,pyridinium,3.4403746128082275,1.6401718854904175
CCCCCC[n+]1cc(CC)cc(CC)c1CCC,cation,pyridinium,3.7704524993896484,1.268980860710144
CCCCCC[n+]1ccc(C)cc1,cation,pyridinium,10.608868598937988,8.985652923583984
CCCCCC[n+]1ccc(N(C)C)c(C)c1,cation,pyridinium,11.068012237548828,9.81558609008789
CCCCCC[n+]1ccc(N(C)C)cc1,cation,pyridinium,11.541664123535156,9.448529243469238
CCCCCC[n+]1ccc(N2CCC(C)CC2)cc1,cation,pyridinium,9.761049270629883,8.440993309020996
CCCCCC[n+]1cccc(C)c1,cation,pyridinium,9.991525650024414,9.93454360961914
CCCCCC[n+]1cccc2ccccc21,cation,pyridinium,13.519933700561523,14.84032917022705
CCCCCC[n+]1ccccc1,cation,pyridinium,17.090404510498047,16.82310676574707
CCCCCC[n+]1ccn(C)c1,cation,imidazolium,8.72373104095459,4.903251647949219
CCCCCC[n+]1ccn(C)c1C,cation,imidazolium,1.7755006551742554,2.3281021118164062
CCCCCC[n+]1ccn(CC)c1,cation,imidazolium,6.892668724060059,4.841471195220947
CCCCCC[n+]1ccn(CCC#N)c1,cation,imidazolium,7.050765037536621,2.951571464538574
CCCCCC[n+]1ccn(Cc2ccc(C)cc2)c1,cation,imidazolium,15.592170715332031,9.409502029418945
CCCCCCc1cccc[n+]1CC,cation,pyridinium,10.388154029846191,13.991278648376465
CCCCCCn1c(C)cc(C)[n+]1-c1ccccc1,cation,pyrazolium,11.790862083435059,17.73481559753418
CCCCCCn1c[n+](CCCCS(=O)(=O)O)cn1,cation,other N-heterocycle,7.000569820404053,7.2743682861328125
CCCCCCn1cc[n+](C)c1,cation,imidazolium,8.384267807006836,1.302527904510498
CCCCCCn1cc[n+](C)c1C,cation,imidazolium,-1.2246432304382324,2.1684796810150146
CCCCCCn1cc[n+](CC)c1,cation,imidazolium,5.857308864593506,3.6874921321868896
CCCCCCn1cc[n+](CCC#N)c1,cation,imidazolium,6.916774749755859,2.825361490249634
CCCCCCn1cc[n+](CCCCCC)c1,cation,imidazolium,12.486169815063477,2.145604133605957
CCCCC[N+](C)(C)CC,cation,ammonium,-0.4569924771785736,-11.831239700317383
CCCCC[N+](C)(C)CCO,cation,ammonium,-0.8918482661247253,-11.04474925994873
CCCCC[N+](C)(CC)CC,cation,ammonium,0.8972200155258179,-12.61783504486084
CCCCC[N+](C)(CCC)CCC,cation,ammonium,3.1235451698303223,-12.64133071899414
CCCCC[N+]1(C)CCOCC1,cation,morpholinium,-17.356685638427734,-26.748804092407227
CCCCC[NH3+],cation,ammonium,-6.0481791496276855,-6.063220024108887
CCCCC[P+](CC)(CC)CC,cation,phosphonium,5.0576910972595215,-17.991117477416992
CCCCC[n+]1ccccc1,cation,pyridinium,17.295591354370117,18.04859733581543
CCCCC[n+]1ccn(C)c1,cation,imidazolium,-0.362289696931839,7.882108688354492
CCCCC[n+]1ccn(CCCC)c1,cation,imidazolium,6.401915073394775,4.286591053009033
CCCCCc1cccc[n+]1CC,cation,pyridinium,9.59310531616211,14.965764045715332
CCCCCn1c(C)cc(C)[n+]1-c1ccccc1,cation,pyrazolium,11.518044471740723,18.138681411743164
CCCCCn1cc[n+](C)c1,cation,imidazolium,-6.165409088134766,15.23696231842041
CCCCCn1cc[n+](C)c1C,cation,imidazolium,-1.896623969078064,2.343625545501709
CCCCCn1cc[n+](CCCCC)c1,cation,imidazolium,7.242344379425049,3.964625358581543
CCCCN1C=C[NH+](C)C1,cation,other N-heterocycle,-7.380276203155518,-0.5817492604255676
CCCCN1C=C[NH+](CCCC)C1,cation,other N-heterocycle,4.683572292327881,-2.5628769397735596
CCCCNC(=O)C[n+]1ccn(CC)c1,cation,imidazolium,1.644945502281189,9.250727653503418
CCCCOC(=O)c1nccc[n+]1CCCC,cation,other N-heterocycle,3.1475446224212646,3.734593629837036
CCCCOCC(O)CN(CCCn1cc[nH+]c1)C(C)=O,cation,imidazolium,1.8529609441757202,-1.0126487016677856
CCCCOCC(O)CNCCCn1cc[nH+]c1,cation,imidazolium,1.8563408851623535,-1.0129618644714355
CCCCOC[n+]1cccc(O)c1,cation,pyridinium,7.0937581062316895,12.972707748413086
CCCC[N+](C)(C)C,cation,ammonium,-2.9221291542053223,-13.080245971679688
CCCC[N+](C)(C)C(=N)N(C)C,cation,ammonium,-4.541854381561279,-16.570756912231445
CCCC[N+](C)(C)CC,cation,ammonium,-1.9352121353149414,-13.087847709655762
CCCC[N+](C)(CC)CC,cation,ammonium,0.24641883373260498,-13.357674598693848
CCCC[N+](C)(CCC)CCC,cation,ammonium,2.7810299396514893,-12.864522933959961
CCCC[N+](C)(CCCC)CCCC,cation,ammonium,4.036830902099609,-12.67209243774414
CCCC[N+](CC)(CC)CC,cation,ammonium,1.4101884365081787,-15.184188842773438
CCCC[N+](CCCC)(CCCC)CCCC,cation,ammonium,5.062073707580566,-12.658750534057617
CCCC[N+]1(C)CCCC1,cation,pyrrolidinium,-23.951547622680664,-27.312742233276367
CCCC[N+]1(C)CCCCC1,cation,piperidinium,-23.55206871032715,-27.788881301879883
CCCC[N+]1(C)CCOCC1,cation,morpholinium,-17.46320152282715,-25.843843460083008
CCCC[NH+]1C=CN=C1,cation,other N-heterocycle,-12.259056091308594,4.928493976593018
CCCC[NH+]1C=CN=C1c1ccccc1,cation,other N-heterocycle,9.758591651916504,21.392240524291992
CCCC[NH+]1CCCC1,cation,pyrrolidinium,-23.52376937866211,-20.267858505249023
CCCC[NH3+],cation,ammonium,-7.300670623779297,-6.171159267425537
CCCC[P+](C)(CCCC)CCCC,cation,phosphonium,9.597586631774902,-12.839740753173828
CCCC[P+](CC)(CC)CC,cation,phosphonium,4.506185054779053,-18.300643920898438
CCCC[P+](CC)(CCCC)CCCC,cation,phosphonium,10.19793701171875,-12.174444198608398
CCCC[P+](CCCC)(CCCC)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,cation,phosphonium,-1.3807035684585571,-2.5186283588409424
CCCC[P+](CCCC)(CCCC)CCCC,cation,phosphonium,11.54149055480957,-12.25497817993164
CCCC[P+](CCCC)(CCCC)CCCN,cation,phosphonium,11.445131301879883,-12.889236450195312
CCCC[P+](CCCC)(CCCC)CCSC,cation,phosphonium,10.862757682800293,-12.9017333984375
CCCC[P+](CCCC)(CCCC)CCSCC,cation,phosphonium,10.942298889160156,-12.126986503601074
CCCC[P+](CCCC)(CCCC)COC,cation,phosphonium,10.38088607788086,-13.2724027633667
CCCC[P+](CCCC)(CCCC)CSC,cation,phosphonium,10.246564865112305,-12.719149589538574
CCCC[S+]1CCCC1,cation,sulfonium,-24.241422653198242,-19.43477439880371
CCCC[n+]1cc(C)cc(C)c1,cation,pyridinium,3.752096652984619,14.452173233032227
CCCC[n+]1cc[nH]c1,cation,imidazolium,2.063840866088867,12.050090789794922
CCCC[n+]1ccc(C)c(C)c1,cation,pyridinium,4.074845790863037,14.853690147399902
CCCC[n+]1ccc(C)cc1,cation,pyridinium,2.8177497386932373,15.856576919555664
CCCC[n+]1ccc(N(C)C)cc1,cation,pyridinium,1.4229398965835571,16.150379180908203
CCCC[n+]1ccc2ccccc2c1,cation,pyridinium,10.854606628417969,20.980947494506836
CCCC[n+]1cccc(C#N)c1,cation,pyridinium,5.226524353027344,15.701486587524414
CCCC[n+]1cccc(C)c1,cation,pyridinium,4.588345527648926,15.815995216369629
CCCC[n+]1cccc(C)c1C,cation,pyridinium,5.088133335113525,14.514214515686035
CCCC[n+]1cccc2ccccc21,cation,pyridinium,10.931746482849121,20.89234733581543
CCCC[n+]1ccccc1,cation,pyridinium,17.39729118347168,19.1864013671875
CCCC[n+]1ccccc1C,cation,pyridinium,6.991535663604736,16.28985023498535
CCCC[n+]1ccn(C(CC)CC)c1,cation,imidazolium,1.7207435369491577,8.33934211730957
CCCC[n+]1ccn(C)c1,cation,imidazolium,-1.1564085483551025,8.078862190246582
