trial,cv_rmse,train_rmse,kernel_name,kernel_variance,likelihood_noise_variance,ls_structure
67,0.5807554360623118,0.41746239982015754,RBF,0.37191761054207645,0.027970950329386072,84.23199205879567
68,0.518811125182636,0.15404951605647405,Matern32,2.3693684059814606,0.05501972766556816,42.28806134237726
69,0.716901162752469,0.5589097503785359,Matern32,0.04171889497018218,0.0544548373219588,29.617461932122794
70,0.5321378497060916,0.2193877360144761,Matern32,1.4145002405783795,0.10993757075636089,41.30451266648148
71,0.8812319287163138,0.7570264476757796,Matern32,0.12218426359936267,0.5453199692996609,16.746211476906687
72,0.7751525944051783,0.684531904473686,Matern32,0.45061812671006585,0.378577900056549,74.80972941590902
73,0.8930656623959123,0.7231610602367392,Matern32,0.2161810256104075,0.8360410526218844,11.185771066788472
74,0.5575776666515384,0.16854909766884527,Matern32,2.3212142638401527,0.17420676061839538,25.272058433905357
75,1.0572279186656663,1.041563558828373,Matern32,0.0052714583898618335,0.11903059142773409,54.12794433370662
76,0.8631850313444719,0.17065637212780702,Matern32,1.303190657975038,0.2600796123929432,4.8596200941547565
77,0.8299868544969581,0.7589520626547457,Matern32,0.06594099745145085,0.05561657407599044,96.14926500886975
78,0.955311496554704,0.8425023852286536,Matern32,0.0026268374913803686,0.019621855133039056,11.337141738074767
79,1.0933204298333414,1.0872513422679053,RationalQuadratic,1.0330206694775777e-06,0.08606947548671404,19.65342722194528
80,0.5437637772612602,0.24892710110267893,Matern32,0.11819928256768249,0.0150531010781296,38.336547979551426
81,1.087445980822751,1.0081306041378004,Matern52,0.01223197789034565,0.19584130929918742,0.746191716871111
82,1.0054003719329272,0.06669390072412201,Matern32,0.6588401643615458,0.025331756133117184,1.2360928366883204
83,0.5757870506846047,0.3838304638784728,Matern32,0.037110228763714496,0.007039965830818041,67.03861190177409
84,1.0768514995755256,1.0662972112465035,Matern32,0.0071821021396018874,0.3969964633251497,50.80571748766298
85,0.6675062323833277,0.08340278165949896,RationalQuadratic,1.8321343516078092,0.050224413456792204,6.4929699072015215
86,0.9443683095755322,0.8815382811548927,Matern32,0.0014915402110414824,0.011041591112033141,27.15271916839591
87,1.0933361173779967,0.04323368735639143,Matern52,0.4552822947035363,0.00016987127146365233,0.02698865851693466
88,0.7017060181576484,0.07286819372876824,Matern32,0.022962699480555862,0.0003956138915900931,9.354624537951263
89,1.0929137759375722,1.0865843120656797,Matern32,7.904421505846093e-06,0.03261915062729647,16.647000195125354
