trial,cv_rmse,train_rmse,kernel_name,kernel_variance,likelihood_noise_variance,ls_an,ls_cat,ls_env_0,ls_env_1
53,0.15262085737601022,0.14712746573510982,RationalQuadratic,2.7696945976199226e-05,0.008575992639173578,5.616973224909811,22.909408533713073,4.449129496568515,0.19152303950858712
54,0.12668887365002196,0.0931341723299951,Matern52,7.15687798432299e-05,0.0005151335316820638,8.788928534381448,3.851083857470783,16.54069098775336,0.0870463181190985
55,0.09480819628714623,0.02444755969131587,RationalQuadratic,0.006275869085688891,0.00015754156951786584,90.62033343710975,0.16601667870065676,1.1021533524837064,0.023678136152748854
56,0.09699519080070038,0.018915251941088375,Matern32,0.0026678794374269937,1.3473467018316824e-05,39.5204933826614,7.928014084352873,0.7284719027871521,0.0431095864410797
57,424.1415575997554,444.20745723620246,RationalQuadratic,0.03935300801518534,9.053381284252173e-05,27.52509383456563,0.057998884749010916,72.97386357153287,15.616453596244707
58,0.08477154404204694,0.033704436283524694,RationalQuadratic,0.023554476272329154,0.004337044799592813,3.729589566231999,63.78842478095093,0.29460872685007233,0.1685806990992897
59,0.1866016903801114,0.15719252132458056,Matern52,0.00013077747582473768,0.0012443655278640967,1.1927312939899657,1.790176575646044,8.613877012586164,8.856498611769455
60,0.1927487665759909,0.14445774834427244,RationalQuadratic,0.013555740596138817,0.0028048544691895655,2.1408046065440685,0.8689443415180369,0.17500474772869976,27.222139720474868
61,0.08047006969386086,0.04112934752894563,Matern32,0.11060979470297208,0.038617071781209954,46.27401754882204,41.94933789506241,2.767836451310826,0.2656305384489099
62,0.23594572129270283,0.23481632225133803,Matern32,9.650723156026227e-06,0.05461292308014097,98.76288281141917,11.199249496153634,2.669773286447834,83.0074678701004
63,0.22955496600962316,0.22891534358506832,Matern32,1.5176788832278506e-06,0.034111735926182635,49.13004770457638,16.11511811545064,5.3200244866550594,0.25725486920945334
64,0.1308524882862757,0.08455937539298816,Matern32,0.0484772902262826,0.017748050284124347,0.7897472672795278,6.353969594078277,2.0658747309783734,6.251563658263817
65,0.08308877056079993,0.04227167678370191,Matern32,0.08544242832588117,0.00957915363670552,24.597687998154544,47.271318393216106,27.292979885863158,0.7243872967838942
66,0.08312312427437316,0.04210743010074451,Matern32,0.08956372264978638,0.009664188246604278,25.207358667330414,45.492592053341006,23.561095881534374,0.789033346335346
67,0.09330944815068089,0.06206236156403159,Matern32,0.010845975746879285,0.029176721779794634,7.044071832008498,69.73137903672703,34.1193602431972,0.45836410978803416
