trial,cv_rmse,train_rmse,kernel_name,kernel_variance,likelihood_noise_variance,ls_env_0,ls_env_1,ls_structure
46,0.1907179034394076,0.18731596160802108,RationalQuadratic,1.3841197816164476e-06,0.00047905113324128213,0.442650882053263,1.062864505522571,56.10880587991324
47,0.19135825114907673,0.17001812331797633,Matern52,0.0017159816917224511,0.028300913865337767,0.1266911927252014,0.02812329126191163,12.717614857773768
48,0.08300764020701487,0.041837953926574765,RBF,0.004911764184086877,0.00019205836541383005,22.86506276166724,0.07468273120710706,92.7011656689517
49,0.08764163946434714,0.03076101778932134,RationalQuadratic,0.04848202246349537,0.00018117551882934442,3.5623846751409443,0.43678302012786385,30.51012130475713
50,0.23541743889106312,0.021519275938620443,Matern32,0.015290006516233622,7.377736817563751e-05,13.536067967350297,0.1734918459875011,0.31278504395055273
51,0.17114321331133872,0.08080506636613466,Matern52,0.008304611938633685,0.003144012437963231,0.21840271364789096,2.106914628554362,6.879837778275212
52,0.2364115441514522,0.21863179770602548,RBF,1.1097016019121738e-05,0.0009127745036843203,0.06007692990277972,0.28691827239041295,0.01012068154946542
53,0.10363120275159929,0.03603070942536854,Matern52,0.0002520300618053783,6.249196505131207e-06,7.40188912278775,0.09658623178058691,16.72823041449297
54,0.23505786485630806,0.09171233748038687,RationalQuadratic,0.0005865188105050105,0.001747458923917263,11.573546021862722,0.04752242049554308,0.03863172729040751
55,0.21022074774300573,0.02148581595879028,Matern52,0.0024996170534517244,3.524736105823824e-05,4.9402983055503675,0.015032774895263085,4.030133033299963
56,0.23482771780706974,0.1327313866172124,Matern52,0.00032102868755802115,0.005229796181270646,2.272540304959931,0.9382987891821266,0.8523908482242918
57,0.23515554935540078,0.21137593848309982,RBF,9.637796206111666e-05,0.014082089243665023,27.51147521743089,10.103336579670962,1.9099775493107163
58,0.22063597129028464,0.1929852568692802,Matern32,0.0008753824275045449,0.026443215441516902,1.0307091286740298,54.53303287837752,9.634006875733045
59,0.10176852251420751,0.062477205921243194,Matern52,0.0015688160618004502,0.00011509884222477273,67.16574621424546,5.230628147030196,34.224643771749975
60,0.10537510030249171,0.09041443224299298,RationalQuadratic,3.1698140489947726e-05,0.00040502866450021634,1.5278441793446995,0.1680340564068024,64.66179819495133
61,0.10181307245799083,0.060177372238366014,Matern52,0.005782685461211974,0.0011901524237773527,98.34236537251128,2.7885788609783266,25.96676536074201
62,0.08749961607149774,0.0366308668670713,Matern52,0.03749976957698056,0.0006563540976516352,0.07775641257689199,1.2775080648686543,95.54709449309067
63,0.2337112860285019,0.13327404666999323,RBF,0.002467961839076343,0.00025105983167928255,0.8069011140175109,13.698802975913635,1.3765845236825807
64,0.21504685296580678,0.025655787518174766,Matern32,0.06547260767608679,3.298458209529101e-05,37.36554947048692,0.42771277881179814,3.1491778219232893
65,0.23641154358906183,0.10926406505712613,Matern52,0.003473576983169926,0.009894914658373449,7.474283799293285,0.031269859279659466,0.058388334033947914
66,0.0827299255366871,0.03712007075589766,RBF,0.014143608098479142,0.00016668558251026587,27.259986399794695,0.0629015885351384,98.22743984239891
67,0.089734570132461,0.03594620570841238,RBF,0.00776217760248117,0.00015272016144886945,52.65668524572861,0.06291900115771214,43.17345167395562
68,0.08371283604255357,0.034945745069371044,RBF,0.013955765061090896,9.073539701437932e-05,12.460112074289643,0.14659976128342772,82.049731152488
69,0.1095134947887297,0.02225087951719012,RBF,0.028565052492357308,0.0002599735633225991,3.850019675368547,0.019544328039869354,18.999916289114335
70,0.08279168930167685,0.03874868903016443,RBF,0.018525722366423712,0.0007261707657116974,5.348597667204007,0.21557871839023157,67.87250967092714
71,0.09664450376904633,0.030993000879315658,RBF,0.10354648080089095,6.027641090639811e-05,19.61330512243412,0.09079885813814226,35.82458350118324
72,0.0966573838405271,0.03747976402757298,RBF,0.009328149721623775,0.0004481764594374365,7.921173936891596,0.3400719337596119,25.091265785205312
73,0.1259991320773579,0.0347770653073392,RBF,0.0011486877889734627,1.762977633961511e-05,14.421616947342137,0.03859509241749171,11.9418304368342
74,0.0845566893778215,0.04068091531035763,Matern52,0.023544191156396603,0.0010012445567105235,30.389828484675654,0.623954357261965,57.1182678859466
75,0.11050793896728747,0.01928902626281733,RationalQuadratic,0.03964147420206296,0.0019288684301502327,2.079071881273542,0.012857458021619046,5.6417267414359955
76,0.09613989944650034,0.048347055704046446,Matern52,0.004465170255277301,0.0003214788109412885,48.0235873331486,0.02285231348455248,98.86244296355392
