property,source_partition,source_record_id,cation,anion,canonical_group,decision,cation_charge,anion_charge,valid,reason
co2,non_test,706,CCCC[n+]1ccn(C)c1,COS(=O)(=O)[O-],CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,711,CCCC[n+]1ccn(C)c1,COS(=O)(=O)[O-],CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,712,CCCC[n+]1ccn(C)c1,COS(=O)(=O)[O-],CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,2525,CCCC[n+]1ccn(C)c1,COS(=O)(=O)[O-],CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,2667,CCCC[n+]1ccn(C)c1,COS(=O)(=O)[O-],CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,2679,CCCC[n+]1ccn(C)c1,COS(=O)(=O)[O-],CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,2699,CCCC[n+]1ccn(C)c1,COS(=O)(=O)[O-],CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,2731,CCCC[n+]1ccn(C)c1,COS(=O)(=O)[O-],CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,2760,CCCC[n+]1ccn(C)c1,COS(=O)(=O)[O-],CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,2806,CCCC[n+]1ccn(C)c1,COS(=O)(=O)[O-],CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,2857,CCCC[n+]1ccn(C)c1,COS(=O)(=O)[O-],CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,2918,CCCC[n+]1ccn(C)c1,COS(=O)(=O)[O-],CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,3045,CCCC[n+]1ccn(C)c1,COS(=O)(=O)[O-],CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,3053,CCCC[n+]1ccn(C)c1,COS(=O)(=O)[O-],CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,3054,CCCC[n+]1ccn(C)c1,COS(=O)(=O)[O-],CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,3068,CCCC[n+]1ccn(C)c1,COS(=O)(=O)[O-],CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,3192,CCCC[n+]1ccn(C)c1,COS(=O)(=O)[O-],CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,3196,CCCC[n+]1ccn(C)c1,COS(=O)(=O)[O-],CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],retain,1,-1,True,valid_monovalent_1_to_1_pair
