trial,cv_rmse,train_rmse,kernel_name,kernel_variance,likelihood_noise_variance,ls_an,ls_cat,ls_cross
57,0.7635999139715394,0.06831184115911779,Matern52,0.030200443611623863,0.0003933279774258135,0.18026834769819644,89.86509238302662,2.548749411181564
58,1.0707183741760486,1.037815250650931,Matern32,1.8220696220878165e-05,0.0007177319973969242,1.9466861898271197,2.3494292814282014,0.27986463369612374
59,0.6318475697959206,0.4175736371899572,RationalQuadratic,0.23796013332481095,0.11101913542516167,0.018076325863416027,13.623172202358061,22.296102567484766
60,1.0933347069685566,1.0872719797656576,RBF,1.3804863443173777e-06,0.5928361445964635,7.859524382575221,33.333661700354575,73.74654622397355
61,0.7417115041290254,0.056541281090913574,Matern32,0.10138662419681939,0.00094100845845547,0.07766737281404834,71.04990472201229,1.0801278243861747
62,0.6567278246570053,0.14973283778467858,Matern52,0.048992459437755126,0.0012039731219319581,0.03820542492296164,0.18039214074293763,40.468530133876165
63,0.6319693314248698,0.15793965497144904,Matern32,0.01913905393113914,0.002056685916198274,0.010144640765865373,7.666788633391782,11.205915520252443
64,0.8800323075649329,0.6079800084460489,RBF,0.004588416961235963,0.0036211535427914192,1.2362491229253387,0.4450872935881991,89.31070867261262
65,0.8861917307944912,0.6793347111179495,RationalQuadratic,9.010590541830041e-05,0.00021687296414440755,0.5165854607684348,4.741607405664361,1.555251135502108
66,0.5251335377550722,0.19448474490490802,Matern32,0.013731131117305836,0.00012216281725635386,0.25110069198786467,99.02999353046127,66.86179177697231
