case,rank,candidate_index
CO2 percentage scale,46,30654
CO2 percentage scale,47,24188
CO2 percentage scale,48,50857
CO2 percentage scale,49,45993
CO2 percentage scale,50,57945
CO2 percentage scale,51,37868
CO2 percentage scale,52,46766
CO2 percentage scale,53,42428
CO2 percentage scale,54,20
CO2 percentage scale,55,37785
CO2 percentage scale,56,45468
CO2 percentage scale,57,37716
CO2 percentage scale,58,57918
CO2 percentage scale,59,46753
CO2 percentage scale,60,58705
CO2 percentage scale,61,44708
CO2 percentage scale,62,50028
CO2 percentage scale,63,46532
CO2 percentage scale,64,58084
CO2 percentage scale,65,4428
CO2 percentage scale,66,46006
CO2 percentage scale,67,12636
CO2 percentage scale,68,780
CO2 percentage scale,69,58706
CO2 percentage scale,70,45385
CO2 percentage scale,71,58704
CO2 percentage scale,72,37633
CO2 percentage scale,73,48812
CO2 percentage scale,74,4510
CO2 percentage scale,75,33004
CO2 percentage scale,76,4580
CO2 percentage scale,77,59148
CO2 percentage scale,78,54284
CO2 percentage scale,79,41972
CO2 percentage scale,80,628
CO2 percentage scale,81,41281
CO2 percentage scale,82,51174
CO2 percentage scale,83,54588
CO2 percentage scale,84,48894
CO2 percentage scale,85,57934
CO2 percentage scale,86,49737
CO2 percentage scale,87,58553
CO2 percentage scale,88,58023
CO2 percentage scale,89,62809
CO2 percentage scale,90,35822
CO2 percentage scale,91,46380
CO2 percentage scale,92,57943
CO2 percentage scale,93,51092
CO2 percentage scale,94,40300
CO2 percentage scale,95,58554
CO2 percentage scale,96,58709
CO2 percentage scale,97,37937
CO2 percentage scale,98,57944
CO2 percentage scale,99,57946
CO2 percentage scale,100,58552
Non-test IQR normalization,1,58692
Non-test IQR normalization,2,57932
Non-test IQR normalization,3,49724
Non-test IQR normalization,4,62796
Non-test IQR normalization,5,49876
Non-test IQR normalization,6,58996
Non-test IQR normalization,7,48964
Non-test IQR normalization,8,47140
Non-test IQR normalization,9,50788
Non-test IQR normalization,10,58540
Non-test IQR normalization,11,58001
Non-test IQR normalization,12,45924
Non-test IQR normalization,13,49958
Non-test IQR normalization,14,47222
Non-test IQR normalization,15,49046
Non-test IQR normalization,16,58761
Non-test IQR normalization,17,49793
Non-test IQR normalization,18,38172
Non-test IQR normalization,19,62865
Non-test IQR normalization,20,62878
Non-test IQR normalization,21,67204
Non-test IQR normalization,22,38254
Non-test IQR normalization,23,50870
Non-test IQR normalization,24,47292
Non-test IQR normalization,25,19476
Non-test IQR normalization,26,49945
Non-test IQR normalization,27,46684
Non-test IQR normalization,28,47209
Non-test IQR normalization,29,59078
Non-test IQR normalization,30,47374
Non-test IQR normalization,31,66444
Non-test IQR normalization,32,49806
Non-test IQR normalization,33,49033
Non-test IQR normalization,34,41212
Non-test IQR normalization,35,58774
Non-test IQR normalization,36,57945
Non-test IQR normalization,37,37564
Non-test IQR normalization,38,476
Non-test IQR normalization,39,58705
Non-test IQR normalization,40,59065
Non-test IQR normalization,41,57918
Non-test IQR normalization,42,38241
Non-test IQR normalization,43,58622
Non-test IQR normalization,44,45316
Non-test IQR normalization,45,3972
Non-test IQR normalization,46,35740
Non-test IQR normalization,47,50857
Non-test IQR normalization,48,45993
Non-test IQR normalization,49,30572
Non-test IQR normalization,50,24188
Non-test IQR normalization,51,58706
Non-test IQR normalization,52,19545
Non-test IQR normalization,53,58704
Non-test IQR normalization,54,30654
Non-test IQR normalization,55,20
Non-test IQR normalization,56,37868
Non-test IQR normalization,57,42428
Non-test IQR normalization,58,45468
Non-test IQR normalization,59,37716
Non-test IQR normalization,60,57934
Non-test IQR normalization,61,49737
Non-test IQR normalization,62,46753
Non-test IQR normalization,63,58023
Non-test IQR normalization,64,46766
Non-test IQR normalization,65,37785
Non-test IQR normalization,66,58553
Non-test IQR normalization,67,50028
Non-test IQR normalization,68,44708
Non-test IQR normalization,69,62809
Non-test IQR normalization,70,57943
Non-test IQR normalization,71,46532
Non-test IQR normalization,72,780
Non-test IQR normalization,73,58783
Non-test IQR normalization,74,58084
Non-test IQR normalization,75,58678
Non-test IQR normalization,76,4428
Non-test IQR normalization,77,58709
Non-test IQR normalization,78,46006
Non-test IQR normalization,79,628
Non-test IQR normalization,80,45385
Non-test IQR normalization,81,37633
Non-test IQR normalization,82,54284
Non-test IQR normalization,83,58554
Non-test IQR normalization,84,57944
Non-test IQR normalization,85,48812
Non-test IQR normalization,86,58552
Non-test IQR normalization,87,62808
Non-test IQR normalization,88,57946
Non-test IQR normalization,89,4580
Non-test IQR normalization,90,4510
Non-test IQR normalization,91,27760
Non-test IQR normalization,92,44480
Non-test IQR normalization,93,19489
Non-test IQR normalization,94,33004
Non-test IQR normalization,95,12636
Non-test IQR normalization,96,41281
Non-test IQR normalization,97,19462
Non-test IQR normalization,98,41972
Non-test IQR normalization,99,51174
Non-test IQR normalization,100,59148
