trial,cv_rmse,train_rmse,kernel_name,kernel_variance,likelihood_noise_variance,ls_an,ls_cat,ls_env_0,ls_env_1
69,0.08704710571273318,0.03151469221597782,RationalQuadratic,0.016170840442425935,0.00020534488144213834,24.45019881628571,33.70253799295021,6.888086945293674,0.2773361678219105
70,0.09596220155649564,0.03259363368042582,RationalQuadratic,0.05203086339367209,0.00010741617624277596,25.631170238793594,80.42863159976586,8.271947200561137,0.47183170261973867
71,0.081441276906747,0.031059658631541514,RationalQuadratic,0.0139319191580365,5.3679200973142085e-05,75.73876172637054,28.978288931450397,2.0573572491777488,0.27489077191785266
72,0.0824597062434513,0.037099916920372504,RationalQuadratic,0.019619848803444567,2.672193632673934e-05,68.83602085786109,29.97619839911744,2.0143239758481846,1.5027250752415213
73,0.08331939606835288,0.039370009547921817,RationalQuadratic,0.015485728701821714,2.1398290415789267e-05,70.5670420016948,56.732290265770544,1.9853348029983917,1.8896109041773244
74,0.08198221405775918,0.04261690655436495,RationalQuadratic,0.0072430122638860355,9.23459266633649e-06,93.74599561380884,49.527449289218794,1.9229271644844546,2.1427688610320277
75,0.15892022936481262,0.09238554083993968,RBF,0.0014086310901729624,8.801228994606271e-06,90.51355787789751,4.14395271147337,0.4804181747974949,4.572114079373927
76,0.13229365609880803,0.05388303898522512,RationalQuadratic,0.03819341329874229,3.6339826184078276e-05,48.0235873331486,2.8006930310576417,0.9275824804341211,6.087465424095774
77,0.1425420105028822,0.09727364654735628,RationalQuadratic,0.00795587178713124,1.1454510464212665e-05,67.17866007009387,15.068073470574136,0.2790042313460672,15.583083917207077
78,0.0921294051281001,0.04951391788907271,RationalQuadratic,0.002149808608697265,1.7962739271941463e-05,32.68227467519521,93.93731136214413,0.1621410185306991,2.392227264615717
79,0.1229923738426792,0.050705601589717174,Matern52,0.0002844911110857687,6.167027480585978e-06,77.29900814653622,6.46423894452071,4.577396334501637,1.2332208219544492
80,0.09801976884517226,0.04412656740549963,RBF,0.11074702357429733,5.0879089938929593e-05,99.76110066936178,41.3253706519508,0.7306169857362554,3.2619397087750026
81,0.11623496280675139,0.03501032062583832,RationalQuadratic,0.08319387861124997,2.654769326261621e-05,37.060791582679336,1.5640104351899047,1.86107342560079,0.8383201440064336
82,0.095053108423765,0.03187310325283339,Matern32,0.006087719680148231,6.58172173194105e-05,19.101527541145824,27.414170834652772,1.3797570700882087,1.5936419675365716
83,0.10653002987929464,0.0641958411792257,RationalQuadratic,0.003998687081508461,9.061930837642153e-06,57.43705228095076,12.02292779032264,0.5018323181281196,5.301524352778883
84,0.18336296305609795,0.14900302019820827,RationalQuadratic,0.00038715352580411823,2.600937757779208e-05,11.41754453093411,72.9303545508975,13.557414204171296,52.99531637103054
85,0.13672091878155018,0.10485541838150605,RBF,0.0009335683505397555,3.892615144535421e-05,47.86045238830577,49.70430095255942,20.15305306098493,8.276297942670404
86,0.16902225854833808,0.0694110608694418,RationalQuadratic,0.03634329808296088,1.6905337997919402e-05,0.17792685687138918,7.607630768107768,5.70802565928089,11.1582934611437
87,0.16610487568589796,0.04439928708588157,Matern52,0.020432295799744694,0.00012514289950560492,96.47960809073153,0.39700757706529116,0.1052544936284301,3.4277463375360284
88,0.22356608169999492,0.17494035710017944,RationalQuadratic,4.268282552864661e-05,7.55159811619351e-06,20.18853910988817,0.14938818531728384,10.039345356289768,28.779456288867003
